#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
        61   -4.5067981149e+01    2.0321378927e+03   -8.1324006610e+01    3.6256025462e+01   -1.0784575782e+01   -5.1102678377e+01   -2.3822603236e+01    4.3858507848e+00   -1.0476607063e+01    5.1200000000e+02    1.8927501831e-01    5.6461791992e-01
        62   -4.5207540343e+01    2.0446394524e+03   -8.1740745762e+01    3.6533205419e+01   -1.0805690592e+01   -5.1102678377e+01   -2.3982610170e+01    4.1502333764e+00   -1.0531862289e+01    5.1200000000e+02    1.9059590463e-01    5.6066284180e-01
        63   -4.5155069982e+01    2.0402736082e+03   -8.1386328136e+01    3.6231258154e+01   -1.0821492733e+01   -5.1102678377e+01   -2.4022224109e+01    4.5600670832e+00   -1.0535949575e+01    5.1200000000e+02    1.9349214231e-01    5.5940551758e-01
        64   -4.5066563388e+01    2.0320987561e+03   -8.1448916437e+01    3.6382353049e+01   -1.0659122572e+01   -5.1102678377e+01   -2.4439595619e+01    4.7524801313e+00   -1.0354894356e+01    5.1200000000e+02    1.9342556513e-01    5.5897216797e-01
        65   -4.5119938663e+01    2.0370281949e+03   -8.0755033073e+01    3.5635094409e+01   -1.0820734868e+01   -5.1102678377e+01   -2.3230383184e+01    4.3987633560e+00   -1.0517605701e+01    5.1200000000e+02    1.9164914137e-01    5.6234741211e-01
        66   -4.5088905812e+01    2.0341332406e+03   -8.1713206335e+01    3.6624300524e+01   -1.0733043511e+01   -5.1102678377e+01   -2.3917534855e+01    4.0400504073e+00   -1.0445314857e+01    5.1200000000e+02    1.9464597350e-01    5.6150512695e-01
        67   -4.4997320712e+01    2.0257464906e+03   -8.0792822134e+01    3.5795501422e+01   -1.0592966098e+01   -5.1102678377e+01   -2.3969698717e+01    4.8725210582e+00   -1.0282928933e+01    5.1200000000e+02    1.8786813325e-01    5.5878906250e-01
        68   -4.5000996572e+01    2.0264212725e+03   -8.0984999736e+01    3.5984003164e+01   -1.0786627257e+01   -5.1102678377e+01   -2.3364959449e+01    4.2692653474e+00   -1.0469516866e+01    5.1200000000e+02    1.8879488869e-01    5.6027832031e-01
        69   -4.5178529768e+01    2.0420489594e+03   -8.2273865443e+01    3.7095335675e+01   -1.0824535772e+01   -5.1102678377e+01   -2.4858534962e+01    4.5118836675e+00   -1.0531567956e+01    5.1200000000e+02    1.9103977056e-01    5.6123046875e-01
        70   -4.5199543538e+01    2.0438938520e+03   -8.1535673837e+01    3.6336130299e+01   -1.1018079857e+01   -5.1102678377e+01   -2.3514631909e+01    4.0997163055e+00   -1.0736954854e+01    5.1200000000e+02    1.8844460944e-01    5.6041870117e-01
        71   -4.5108534056e+01    2.0358218257e+03   -8.1731341133e+01    3.6622807077e+01   -1.0746714223e+01   -5.1102678377e+01   -2.3853992976e+01    3.9720444436e+00   -1.0447914292e+01    5.1200000000e+02    1.8840932494e-01    5.5941162109e-01
        72   -4.5121735386e+01    2.0368044125e+03   -8.1117615142e+01    3.5995879756e+01   -1.0692650432e+01   -5.1102678377e+01   -2.4322290714e+01    5.0000043807e+00   -1.0402473483e+01    5.1200000000e+02    1.8847805725e-01    5.5853881836e-01
        73   -4.5096331225e+01    2.0347017447e+03   -8.1606041946e+01    3.6509710721e+01   -1.0511878186e+01   -5.1102678377e+01   -2.4327620160e+01    4.3361347772e+00   -1.0221913377e+01    5.1200000000e+02    1.8899778125e-01    5.6080932617e-01
        74   -4.5081074076e+01    2.0337837191e+03   -8.2604813972e+01    3.7523739896e+01   -1.0778408754e+01   -5.1102678377e+01   -2.4172819799e+01    3.4490929573e+00   -1.0474518099e+01    5.1200000000e+02    1.9019313813e-01    5.5990600586e-01
        75   -4.5142861696e+01    2.0388835598e+03   -8.2109200442e+01    3.6966338747e+01   -1.0899896364e+01   -5.1102678377e+01   -2.4429402788e+01    4.3227770871e+00   -1.0619375473e+01    5.1200000000e+02    1.9200944113e-01    5.6143798828e-01
        76   -4.5043645061e+01    2.0299684837e+03   -8.1928046237e+01    3.6884401176e+01   -1.0820823255e+01   -5.1102678377e+01   -2.4534644601e+01    4.5300999957e+00   -1.0521901521e+01    5.1200000000e+02    1.8452737700e-01    5.6040649414e-01
        77   -4.5016774266e+01    2.0275589377e+03   -8.1786636624e+01    3.6769862358e+01   -1.0671586419e+01   -5.1102678377e+01   -2.4484888133e+01    4.4725163043e+00   -1.0364666558e+01    5.1200000000e+02    1.9034896769e-01    5.5924072266e-01
        78   -4.5110827972e+01    2.0359465611e+03   -8.1014896774e+01    3.5904068802e+01   -1.0979625936e+01   -5.1102678377e+01   -2.3074002737e+01    4.1414102758e+00   -1.0678790252e+01    5.1200000000e+02    1.9062550981e-01    5.6082763672e-01
        79   -4.5073017884e+01    2.0326282224e+03   -8.1692827829e+01    3.6619809945e+01   -1.0682886903e+01   -5.1102678377e+01   -2.4141577709e+01    4.2343151599e+00   -1.0372150740e+01    5.1200000000e+02    1.8850875794e-01    5.6080322266e-01
        80   -4.5065006657e+01    2.0318371865e+03   -8.1828839564e+01    3.6763832907e+01   -1.0597084387e+01   -5.1102678377e+01   -2.4615684017e+01    4.4866072168e+00   -1.0304399148e+01    5.1200000000e+02    1.8509232044e-01    5.6111450195e-01
        81   -4.5031152078e+01    2.0289577368e+03   -8.1655423791e+01    3.6624271713e+01   -1.0730215728e+01   -5.1102678377e+01   -2.4286301063e+01    4.4637713770e+00   -1.0435524441e+01    5.1200000000e+02    1.9612910644e-01    5.6005859375e-01
        82   -4.5116636237e+01    2.0367384965e+03   -8.1640115396e+01    3.6523479158e+01   -1.0779114102e+01   -5.1102678377e+01   -2.4288908490e+01    4.5305855731e+00   -1.0482147656e+01    5.1200000000e+02    1.8989849338e-01    5.6076660156e-01
        83   -4.5062410228e+01    2.0317559221e+03   -8.1397355814e+01    3.6334945586e+01   -1.0840629251e+01   -5.1102678377e+01   -2.3737376834e+01    4.2833286473e+00   -1.0525581573e+01    5.1200000000e+02    1.8644713125e-01    5.5874633789e-01
        84   -4.5171619828e+01    2.0415727416e+03   -8.2276962279e+01    3.7105342451e+01   -1.0856898545e+01   -5.1102678377e+01   -2.5190646695e+01    4.8732613384e+00   -1.0579199935e+01    5.1200000000e+02    1.9005612194e-01    5.6221313477e-01
        85   -4.5040196587e+01    2.0295445222e+03   -8.2002903595e+01    3.6962707008e+01   -1.0590922722e+01   -5.1102678377e+01   -2.4655478879e+01    4.3461763822e+00   -1.0277930528e+01    5.1200000000e+02    1.8896534750e-01    5.5967407227e-01
        86   -4.5104408200e+01    2.0361089057e+03   -8.1352356919e+01    3.6247948719e+01   -1.0694270641e+01   -5.1102678377e+01   -2.3635805528e+01    4.0803976271e+00   -1.0403840168e+01    5.1200000000e+02    1.8998028838e-01    5.6201782227e-01
        87   -4.5097815979e+01    2.0349151156e+03   -8.1942006242e+01    3.6844190263e+01   -1.0655975369e+01   -5.1102678377e+01   -2.4649597134e+01    4.4662446378e+00   -1.0358849344e+01    5.1200000000e+02    1.8835772525e-01    5.6200561523e-01
        88   -4.5068674803e+01    2.0321016158e+03   -8.1342767398e+01    3.6274092595e+01   -1.0732830683e+01   -5.1102678377e+01   -2.4010811568e+01    4.5035532288e+00   -1.0424771536e+01    5.1200000000e+02    1.8697923775e-01    5.6038818359e-01
        89   -4.5039467234e+01    2.0295138255e+03   -8.2287094369e+01    3.7247627134e+01   -1.0804333738e+01   -5.1102678377e+01   -2.4916156518e+01    4.5360742638e+00   -1.0498964241e+01    5.1200000000e+02    1.8465287019e-01    5.5939331055e-01
        90   -4.5096232902e+01    2.0346817247e+03   -8.1632063511e+01    3.6535830610e+01   -1.0835465285e+01   -5.1102678377e+01   -2.4084656400e+01    4.3907365496e+00   -1.0533878102e+01    5.1200000000e+02    1.8952732425e-01    5.6068725586e-01
        91   -4.4990762262e+01    2.0251304888e+03   -8.1840444093e+01    3.6849681831e+01   -1.0884853221e+01   -5.1102678377e+01   -2.3971604861e+01    4.1186923655e+00   -1.0585526681e+01    5.1200000000e+02    1.9031771719e-01    5.5934448242e-01
        92   -4.5074083815e+01    2.0326044782e+03   -8.1508946901e+01    3.6434863086e+01   -1.0878070451e+01   -5.1102678377e+01   -2.4009950876e+01    4.4817528027e+00   -1.0587061258e+01    5.1200000000e+02    1.8819606031e-01    5.6068115234e-01
        93   -4.5081134513e+01    2.0333750616e+03   -8.0988990198e+01    3.5907855685e+01   -1.0723078596e+01   -5.1102678377e+01   -2.3716983007e+01    4.5537497825e+00   -1.0404916768e+01    5.1200000000e+02    1.9291353381e-01    5.5863647461e-01
        94   -4.5141037431e+01    2.0395548955e+03   -8.1435274357e+01    3.6294236926e+01   -1.0713308624e+01   -5.1102678377e+01   -2.4017131705e+01    4.3978443485e+00   -1.0412811633e+01    5.1200000000e+02    1.9009882187e-01    5.5891113281e-01
        95   -4.5136481850e+01    2.0384131235e+03   -8.1639033733e+01    3.6502551883e+01   -1.0707589539e+01   -5.1102678377e+01   -2.4238170151e+01    4.4094043338e+00   -1.0400715951e+01    5.1200000000e+02    1.9056738794e-01    5.6138305664e-01
        96   -4.5040399110e+01    2.0295816277e+03   -8.1434629448e+01    3.6394230338e+01   -1.0911546632e+01   -5.1102678377e+01   -2.3815673586e+01    4.3952691465e+00   -1.0597748029e+01    5.1200000000e+02    1.9442744494e-01    5.6224365234e-01
        97   -4.5036966672e+01    2.0296651406e+03   -8.1735499611e+01    3.6698532939e+01   -1.0694395144e+01   -5.1102678377e+01   -2.3976718554e+01    4.0382924628e+00   -1.0389731248e+01    5.1200000000e+02    1.9077650775e-01    5.6006469727e-01
        98   -4.5021033899e+01    2.0279495006e+03   -8.1213395274e+01    3.6192361375e+01   -1.0729707631e+01   -5.1102678377e+01   -2.3890603375e+01    4.5095941077e+00   -1.0406906047e+01    5.1200000000e+02    1.9074157925e-01    5.6150512695e-01
        99   -4.5095215597e+01    2.0346495878e+03   -8.1509767470e+01    3.6414551873e+01   -1.0784149562e+01   -5.1102678377e+01   -2.3728381804e+01    4.1054422730e+00   -1.0499893184e+01    5.1200000000e+02    1.8911730287e-01    5.6204223633e-01
