#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
        72   -4.5869549158e+01    2.1051362348e+03   -8.0558920805e+01    3.4689371647e+01   -1.0943571668e+01   -5.1102678377e+01   -2.3831319020e+01    5.3186482599e+00   -1.0605132054e+01    2.0000000000e+01    4.1811777002e-02    7.9322916667e-01
        73   -4.5404909841e+01    2.0629376009e+03   -7.9584395118e+01    3.4179485276e+01   -1.1175491767e+01   -5.1102678377e+01   -2.2319747731e+01    5.0135227576e+00   -1.0871550628e+01    2.0000000000e+01    4.8527742496e-02    8.1302083333e-01
        74   -4.5833475284e+01    2.1016375115e+03   -8.1088746338e+01    3.5255271054e+01   -1.0847396374e+01   -5.1102678377e+01   -2.4855820188e+01    5.7171486008e+00   -1.0556018614e+01    2.0000000000e+01    4.1449380500e-02    8.1406250000e-01
        75   -4.6244880896e+01    2.1418253591e+03   -8.0503174991e+01    3.4258294094e+01   -1.1622069833e+01   -5.1102678377e+01   -2.2598617061e+01    4.8201902794e+00   -1.1393998916e+01    2.0000000000e+01    3.9447666997e-02    8.2187500000e-01
        76   -4.5796743612e+01    2.0981735318e+03   -7.9780684929e+01    3.3983941317e+01   -1.1636064268e+01   -5.1102678377e+01   -2.1546251574e+01    4.5043092899e+00   -1.1344078157e+01    2.0000000000e+01    3.4227245495e-02    8.0104166667e-01
        77   -4.5772926598e+01    2.0962623303e+03   -8.3987117702e+01    3.8214191103e+01   -1.0445492795e+01   -5.1102678377e+01   -2.8869099069e+01    6.4301525390e+00   -1.0011872823e+01    2.0000000000e+01    3.3362785005e-02    8.1406250000e-01
        78   -4.6065048473e+01    2.1227564781e+03   -7.9004397507e+01    3.2939349034e+01   -1.1718721763e+01   -5.1102678377e+01   -2.1527283574e+01    5.3442862063e+00   -1.1478708013e+01    2.0000000000e+01    3.6357695004e-02    7.9479166667e-01
        79   -4.5718386459e+01    2.0914817330e+03   -7.7380729840e+01    3.1662343381e+01   -1.1238585803e+01   -5.1102678377e+01   -2.0914113811e+01    5.8746481506e+00   -1.0912481056e+01    2.0000000000e+01    4.1254889002e-02    8.1510416667e-01
        80   -4.5822374681e+01    2.1005420152e+03   -7.9437398624e+01    3.3615023943e+01   -1.2102319418e+01   -5.1102678377e+01   -2.0003161278e+01    3.7707604491e+00   -1.1890234681e+01    2.0000000000e+01    4.5636572999e-02    8.2291666667e-01
        81   -4.5896188576e+01    2.1074254412e+03   -7.8330142071e+01    3.2433953495e+01   -1.1200292094e+01   -5.1102678377e+01   -2.1842699767e+01    5.8155281662e+00   -1.0924984005e+01    2.0000000000e+01    5.1831871002e-02    8.1770833333e-01
