#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
        37   -4.5288063860e+01    2.0519404137e+03   -8.2183613794e+01    3.6895549935e+01   -1.1045348478e+01   -5.1102678377e+01   -2.4683957388e+01    4.6483704478e+00   -1.0777595167e+01    1.6714000000e+04    5.0201404418e+00    9.9842353296e-01
        38   -4.5272984025e+01    2.0506652643e+03   -8.2248075644e+01    3.6975091619e+01   -1.0966791903e+01   -5.1102678377e+01   -2.4802424592e+01    4.6238192278e+00   -1.0710070355e+01    1.6735000000e+04    5.0007942287e+00    9.9829665300e-01
        39   -4.5269122391e+01    2.0503683474e+03   -8.1999156738e+01    3.6730034347e+01   -1.1201900085e+01   -5.1102678377e+01   -2.4235170672e+01    4.5405923948e+00   -1.0946602287e+01    1.7155000000e+04    5.0530493940e+00    9.9847538861e-01
        40   -4.5300844583e+01    2.0532134784e+03   -8.1841486945e+01    3.6540642362e+01   -1.1031567748e+01   -5.1102678377e+01   -2.4183147061e+01    4.4759062403e+00   -1.0760137687e+01    1.6824000000e+04    5.0857562620e+00    9.9833637284e-01
        41   -4.5277184123e+01    2.0510613833e+03   -8.1911352992e+01    3.6634168868e+01   -1.0868377801e+01   -5.1102678377e+01   -2.4580085281e+01    4.6397884665e+00   -1.0602139322e+01    1.6462000000e+04    5.0251727002e+00    9.9833702517e-01
        42   -4.5227207601e+01    2.0465083871e+03   -8.2206388495e+01    3.6979180894e+01   -1.0895669228e+01   -5.1102678377e+01   -2.4931952074e+01    4.7239111839e+00   -1.0617296405e+01    1.6493000000e+04    4.9741096483e+00    9.9838329556e-01
        43   -4.5289283303e+01    2.0521056974e+03   -8.2345146485e+01    3.7055863182e+01   -1.1006950806e+01   -5.1102678377e+01   -2.4708240225e+01    4.4727229224e+00   -1.0747263982e+01    1.6669000000e+04    5.0617032262e+00    9.9829399264e-01
        44   -4.5249720964e+01    2.0485527677e+03   -8.2751432108e+01    3.7501711144e+01   -1.1075151353e+01   -5.1102678377e+01   -2.5103237146e+01    4.5296347677e+00   -1.0813866227e+01    1.6679000000e+04    5.0527489408e+00    9.9833081344e-01
        45   -4.5254218151e+01    2.0489435830e+03   -8.2114576323e+01    3.6860358172e+01   -1.1006884033e+01   -5.1102678377e+01   -2.4571658187e+01    4.5666442728e+00   -1.0735798907e+01    1.6791000000e+04    5.1045293608e+00    9.9832453822e-01
        46   -4.5280294050e+01    2.0512962772e+03   -8.1876386116e+01    3.6596092066e+01   -1.0869650735e+01   -5.1102678377e+01   -2.4435330411e+01    4.5312734069e+00   -1.0582540263e+01    1.6714000000e+04    5.0459160760e+00    9.9826347551e-01
        47   -4.5290801280e+01    2.0523538392e+03   -8.1885611288e+01    3.6594810008e+01   -1.1109664914e+01   -5.1102678377e+01   -2.4245880829e+01    4.5726128310e+00   -1.0836744062e+01    1.6596000000e+04    5.0577009617e+00    9.9836120847e-01
        48   -4.5254154329e+01    2.0489485478e+03   -8.2159117112e+01    3.6904962783e+01   -1.1219598075e+01   -5.1102678377e+01   -2.4085020899e+01    4.2481802386e+00   -1.0946956980e+01    1.6839000000e+04    5.0952025915e+00    9.9834506959e-01
        49   -4.5264470884e+01    2.0499863885e+03   -8.2361201850e+01    3.7096730967e+01   -1.1015901177e+01   -5.1102678377e+01   -2.4545362082e+01    4.3027397860e+00   -1.0743911546e+01    1.6696000000e+04    5.0548028992e+00    9.9829913443e-01
        50   -4.5294232889e+01    2.0525789098e+03   -8.2036699185e+01    3.6742466296e+01   -1.1044012688e+01   -5.1102678377e+01   -2.4030460046e+01    4.1404519250e+00   -1.0784398859e+01    1.6236000000e+04    4.8637733645e+00    9.9850146713e-01
        51   -4.5326895875e+01    2.0555239023e+03   -8.1811021380e+01    3.6484125505e+01   -1.1120080425e+01   -5.1102678377e+01   -2.4115120406e+01    4.5268578286e+00   -1.0855861421e+01    1.6154000000e+04    4.8990592383e+00    9.9848476165e-01
        52   -4.5298256896e+01    2.0530595346e+03   -8.2012814983e+01    3.6714558086e+01   -1.1140457272e+01   -5.1102678377e+01   -2.4304964673e+01    4.5352853391e+00   -1.0868040125e+01    1.6171000000e+04    4.8850575135e+00    9.9838249105e-01
        53   -4.5331864380e+01    2.0559683122e+03   -8.1876155253e+01    3.6544290873e+01   -1.1131252660e+01   -5.1102678377e+01   -2.4379255927e+01    4.7370317116e+00   -1.0855954089e+01    1.6376000000e+04    4.9697556610e+00    9.9843847167e-01
        54   -4.5334812166e+01    2.0562267576e+03   -8.2249514761e+01    3.6914702595e+01   -1.1134972965e+01   -5.1102678377e+01   -2.4716879574e+01    4.7050161543e+00   -1.0868198017e+01    1.6528000000e+04    4.9657592870e+00    9.9839538937e-01
        55   -4.5344978448e+01    2.0571263771e+03   -8.2320958452e+01    3.6975980003e+01   -1.1085706767e+01   -5.1102678377e+01   -2.4780446430e+01    4.6478731218e+00   -1.0822091918e+01    1.7011000000e+04    5.1935035985e+00    9.9841961553e-01
        56   -4.5379662450e+01    2.0602462315e+03   -8.1990922075e+01    3.6611259625e+01   -1.1104158378e+01   -5.1102678377e+01   -2.4440754720e+01    4.6566693997e+00   -1.0837675759e+01    1.7222000000e+04    5.1569469890e+00    9.9844211006e-01
        57   -4.5355221102e+01    2.0581402112e+03   -8.1785422336e+01    3.6430201233e+01   -1.0970734133e+01   -5.1102678377e+01   -2.4446727427e+01    4.7347176018e+00   -1.0707875261e+01    1.7364000000e+04    5.2251709687e+00    9.9847419021e-01
        58   -4.5339365549e+01    2.0567827940e+03   -8.1864420770e+01    3.6525055221e+01   -1.1044612923e+01   -5.1102678377e+01   -2.4342018323e+01    4.6248888522e+00   -1.0780901113e+01    1.7666000000e+04    5.2862478375e+00    9.9841603678e-01
        59   -4.5297843351e+01    2.0528977935e+03   -8.2161235850e+01    3.6863392499e+01   -1.1079832306e+01   -5.1102678377e+01   -2.4690179145e+01    4.7114539785e+00   -1.0814447142e+01    1.7670000000e+04    5.3041063015e+00    9.9841713043e-01
        60   -4.5296950319e+01    2.0528148894e+03   -8.2003747912e+01    3.6706797592e+01   -1.0997550657e+01   -5.1102678377e+01   -2.4522351556e+01    4.6188326782e+00   -1.0732682363e+01    1.7594000000e+04    5.2503044900e+00    9.9833782141e-01
        61   -4.5265501956e+01    2.0500113207e+03   -8.2020681629e+01    3.6755179673e+01   -1.0962803060e+01   -5.1102678377e+01   -2.4838827319e+01    4.8836271264e+00   -1.0698405632e+01    1.7265000000e+04    5.1606042417e+00    9.9854712875e-01
        62   -4.5291408282e+01    2.0523435215e+03   -8.1920401754e+01    3.6628993473e+01   -1.0955758678e+01   -5.1102678377e+01   -2.4499120077e+01    4.6371553774e+00   -1.0702014738e+01    1.7228000000e+04    5.1535572625e+00    9.9846182534e-01
        63   -4.5300971553e+01    2.0532328931e+03   -8.2172608660e+01    3.6871637106e+01   -1.1053811738e+01   -5.1102678377e+01   -2.4535030002e+01    4.5189114572e+00   -1.0799816657e+01    1.7255000000e+04    5.1651738430e+00    9.9837914396e-01
        64   -4.5297301854e+01    2.0528859360e+03   -8.1810917659e+01    3.6513615805e+01   -1.1009948533e+01   -5.1102678377e+01   -2.4292055981e+01    4.5937652318e+00   -1.0749522916e+01    1.7354000000e+04    5.2790728268e+00    9.9841134708e-01
        65   -4.5267949286e+01    2.0502090523e+03   -8.1412012024e+01    3.6144062738e+01   -1.1231500825e+01   -5.1102678377e+01   -2.3323911215e+01    4.2460783931e+00   -1.0957529058e+01    1.7143000000e+04    5.1483296173e+00    9.9834947696e-01
        66   -4.5271039246e+01    2.0504562123e+03   -8.1670224257e+01    3.6399185011e+01   -1.1311246471e+01   -5.1102678377e+01   -2.3577313823e+01    4.3210144136e+00   -1.1022749082e+01    1.7181000000e+04    5.1794234430e+00    9.9837817301e-01
        67   -4.5287587514e+01    2.0519894611e+03   -8.1914834573e+01    3.6627247059e+01   -1.1195783192e+01   -5.1102678377e+01   -2.3891909260e+01    4.2755362558e+00   -1.0922293217e+01    1.7380000000e+04    5.2141175855e+00    9.9850758411e-01
        68   -4.5286977014e+01    2.0518927813e+03   -8.2154070735e+01    3.6867093721e+01   -1.1051243260e+01   -5.1102678377e+01   -2.4550935326e+01    4.5507862265e+00   -1.0797203627e+01    1.7179000000e+04    5.1470294928e+00    9.9843699809e-01
        69   -4.5333485758e+01    2.0561464745e+03   -8.2424965541e+01    3.7091479783e+01   -1.1135480017e+01   -5.1102678377e+01   -2.4605500898e+01    4.4186937505e+00   -1.0875755500e+01    1.7033000000e+04    5.1092237905e+00    9.9848129533e-01
        70   -4.5306209669e+01    2.0537366747e+03   -8.2447336302e+01    3.7141126633e+01   -1.1156199425e+01   -5.1102678377e+01   -2.4516734980e+01    4.3282764797e+00   -1.0910256142e+01    1.7627000000e+04    5.2852659703e+00    9.9844097448e-01
