 # Generating QMCPACK input from PYSCF checkpoint file.
 # git sha1: cd196fa67a7c3213761ba0c242586d676be31d55-dirty
 # Date/Time: Sun May  5 15:40:08 2019
 # Working directory: /p/lustre2/malone14/qmcpack_workshop_2019/day1_afqmc/06-diamond_2x2x2_supercell
 # Generating Hamiltonian and wavefunction from pyscf cell object.
 # Time to reach cholesky: 5.00e-02 s
 # Each kpoint is distributed accross 1 mpi tasks.
 # Approx. total memory required: 1.91e+00 GB.
 # Generating orbital products.
 # Time to generate orbital products: 1.29e+02 s
 # Time to generate diagonal (initial residual): 1.10e+00
        iteration      max_residual        total_time         time_k3k4   time_comp_cholv         time_buff
              116  2.9580593414e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              117  2.9474315261e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              118  2.9081756049e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              119  2.8931540050e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              120  2.8814339680e-02  5.0000000000e-02  0.0000000000e+00  5.0000000000e-02  0.0000000000e+00
              121  2.7406707949e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              122  2.6867410072e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              123  2.6813637627e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              124  2.5955832763e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              125  2.5803272647e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              126  2.5712678947e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              127  2.5220551876e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              128  2.5198551285e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              129  2.4775844184e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              130  2.4591410879e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              131  2.4548541189e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
              132  2.4493899146e-02  2.0000000000e-02  0.0000000000e+00  2.0000000000e-02  0.0000000000e+00
              133  2.4114397305e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              134  2.3976013974e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              135  2.3668772126e-02  3.0000000000e-02  0.0000000000e+00  3.0000000000e-02  0.0000000000e+00
              136  2.3086095788e-02  5.0000000000e-02  0.0000000000e+00  4.0000000000e-02  1.0000000000e-02
              137  2.2753274112e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              138  2.2433011378e-02  2.0000000000e-02  1.0000000000e-02  1.0000000000e-02  0.0000000000e+00
              139  2.2061857711e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
              140  2.2038209145e-02  4.0000000000e-02  1.0000000000e-02  3.0000000000e-02  0.0000000000e+00
              141  2.1983562654e-02  4.0000000000e-02  0.0000000000e+00  4.0000000000e-02  0.0000000000e+00
              142  2.1336840745e-02  5.0000000000e-02  1.0000000000e-02  4.0000000000e-02  0.0000000000e+00
