converged SCF energy = -108.606225806527
 # Transforming hcore and eri to ortho AO basis.
 # Performing modified Cholesky decomposition on ERI tensor.
 # Generating Cholesky decomposition of ERIs.
 # max number of cholesky vectors = 280
        iteration      max_residual              time
               38  4.1801998868e-02  9.7990036011e-04
               39  4.1790504815e-02  9.7608566284e-04
               40  3.6862989302e-02  9.1981887817e-04
               41  3.6862989302e-02  9.3603134155e-04
               42  3.2436809315e-02  9.2697143555e-04
               43  3.2436809315e-02  9.1695785522e-04
               44  2.6840018761e-02  9.8705291748e-04
               45  2.6835096889e-02  9.9396705627e-04
               46  2.6653588019e-02  1.0051727295e-03
               47  2.6642672127e-02  1.0011196136e-03
               48  2.4430674149e-02  9.9301338196e-04
               49  2.4430674149e-02  9.8705291748e-04
               50  2.4430673601e-02  1.0089874268e-03
               51  2.4430673601e-02  9.9897384644e-04
               52  2.3748106941e-02  9.8395347595e-04
               53  2.3748106941e-02  1.0120868683e-03
               54  2.3436065752e-02  9.9587440491e-04
               55  2.3436065752e-02  9.9992752075e-04
               56  2.1248332329e-02  9.9396705627e-04
               57  2.1247580733e-02  9.9396705627e-04
               58  1.9325878908e-02  9.9396705627e-04
               59  1.8677528088e-02  9.5486640930e-04
               60  1.7748523705e-02  9.8013877869e-04
               61  1.7748523705e-02  9.7894668579e-04
               62  1.7588295881e-02  9.4294548035e-04
               63  1.7055313926e-02  9.7393989563e-04
               64  1.7055313926e-02  9.9015235901e-04
               65  1.5544314523e-02  9.4985961914e-04
               66  1.4398280130e-02  1.0011196136e-03
               67  1.4322432653e-02  9.4795227051e-04
               68  1.4096378057e-02  1.0080337524e-03
               69  1.4059040762e-02  9.9921226501e-04
               70  1.2857690129e-02  9.8299980164e-04
               71  1.2664460623e-02  9.9921226501e-04
               72  1.2661286347e-02  1.0061264038e-03
               73  1.2624104153e-02  9.8896026611e-04
               74  1.2482212348e-02  9.9992752075e-04
               75  1.2482212348e-02  1.0011196136e-03
               76  1.2480937304e-02  1.0020732880e-03
               77  1.2480937304e-02  9.9897384644e-04
               78  1.0208597958e-02  9.5295906067e-04
               79  1.0208597958e-02  9.5796585083e-04
               80  9.1084198382e-03  1.0559558868e-03
               81  9.1084198382e-03  1.0681152344e-03
               82  8.9645053856e-03  1.0030269623e-03
               83  8.9645053856e-03  1.0130405426e-03
               84  8.9238661522e-03  1.0001659393e-03
               85  8.9238661522e-03  1.0027885437e-03
               86  8.8307550475e-03  1.3580322266e-03
               87  8.8304021975e-03  1.0640621185e-03
               88  8.6278731272e-03  1.0681152344e-03
               89  8.6278731272e-03  1.0621547699e-03
               90  7.8798468800e-03  1.2750625610e-03
               91  7.8756363725e-03  1.2941360474e-03
               92  6.3493015554e-03  9.6893310547e-04
               93  6.3493015554e-03  9.6797943115e-04
               94  4.2576519422e-03  9.4890594482e-04
               95  3.2564543556e-03  9.6011161804e-04
               96  3.2413812285e-03  9.5582008362e-04
               97  3.1603805308e-03  9.6011161804e-04
               98  3.1603805308e-03  9.4604492188e-04
               99  3.1582970963e-03  9.4509124756e-04
              100  3.1582970963e-03  9.6106529236e-04
              101  2.3974742185e-03  9.4795227051e-04
              102  2.3974742185e-03  9.5295906067e-04
              103  2.2299437506e-03  9.7489356995e-04
              104  2.2123986864e-03  9.9897384644e-04
              105  2.2123986864e-03  1.0011196136e-03
              106  2.1828057374e-03  1.0130405426e-03
              107  2.1828057374e-03  9.9706649780e-04
              108  1.8464694118e-03  9.6893310547e-04
              109  1.8464694118e-03  1.4889240265e-03
              110  1.8139159411e-03  9.9802017212e-04
              111  1.8118264764e-03  9.9897384644e-04
              112  1.7598718333e-03  9.7513198853e-04
              113  1.7385040127e-03  9.7298622131e-04
              114  1.6261191752e-03  9.6702575684e-04
              115  1.2919377726e-03  9.8180770874e-04
              116  1.1180331440e-03  9.7012519836e-04
              117  1.1180331440e-03  9.6702575684e-04
              118  1.0715934352e-03  9.7894668579e-04
              119  1.0715934352e-03  9.7894668579e-04
              120  1.0096804641e-03  9.7513198853e-04
              121  8.2145443116e-04  1.0669231415e-03
              122  8.2114164075e-04  1.0409355164e-03
              123  6.8760169148e-04  1.5990734100e-03
              124  6.6220817575e-04  1.0449886322e-03
              125  4.7781768983e-04  1.0089874268e-03
              126  3.8062007739e-04  1.0070800781e-03
              127  3.7060521413e-04  1.0099411011e-03
